gb|AAKM01001413	AAKM01001413
gb|AAKM01002570	AAKM01002570
gb|AAKM01000328	AAKM01000328
gb|AAKM01002577	AAKM01002577
gb|AAKM01000327	AAKM01000327
gb|AAKM01002576	AAKM01002576
gb|AAKM01002575	AAKM01002575
gb|AAKM01000329	AAKM01000329
gb|AAKM01002574	AAKM01002574
gb|AAKM01002568	AAKM01002568
gb|AAKM01002567	AAKM01002567
gb|AAKM01002569	AAKM01002569
gb|AAKM01000333	AAKM01000333
gb|AAKM01000332	AAKM01000332
gb|AAKM01000331	AAKM01000331
gb|AAKM01000330	AAKM01000330
gb|AAKM01000337	AAKM01000337
gb|AAKM01002560	AAKM01002560
gb|AAKM01000336	AAKM01000336
gb|AAKM01000335	AAKM01000335
gb|AAKM01002562	AAKM01002562
gb|AAKM01000334	AAKM01000334
gb|AAKM01002561	AAKM01002561
gb|AAKM01002564	AAKM01002564
gb|AAKM01002563	AAKM01002563
gb|AAKM01000339	AAKM01000339
gb|AAKM01002566	AAKM01002566
gb|AAKM01000338	AAKM01000338
gb|AAKM01002565	AAKM01002565
gb|AAKM01000309	AAKM01000309
gb|AAKM01000300	AAKM01000300
gb|AAKM01000306	AAKM01000306
gb|AAKM01002599	AAKM01002599
gb|AAKM01000305	AAKM01000305
gb|AAKM01002598	AAKM01002598
gb|AAKM01000308	AAKM01000308
gb|AAKM01002597	AAKM01002597
gb|AAKM01000307	AAKM01000307
gb|AAKM01002596	AAKM01002596
gb|AAKM01000302	AAKM01000302
gb|AAKM01002595	AAKM01002595
gb|AAKM01000301	AAKM01000301
gb|AAKM01002594	AAKM01002594
gb|AAKM01000304	AAKM01000304
gb|AAKM01002593	AAKM01002593
gb|AAKM01000303	AAKM01000303
gb|AAKM01002592	AAKM01002592
gb|AAKM01002590	AAKM01002590
gb|AAKM01002591	AAKM01002591
gb|AAKM01000311	AAKM01000311
gb|AAKM01000310	AAKM01000310
gb|AAKM01002589	AAKM01002589
gb|AAKM01000319	AAKM01000319
gb|AAKM01002586	AAKM01002586
gb|AAKM01000318	AAKM01000318
gb|AAKM01002585	AAKM01002585
gb|AAKM01000317	AAKM01000317
gb|AAKM01002588	AAKM01002588
gb|AAKM01000316	AAKM01000316
gb|AAKM01002587	AAKM01002587
gb|AAKM01000315	AAKM01000315
gb|AAKM01002582	AAKM01002582
gb|AAKM01000314	AAKM01000314
gb|AAKM01002581	AAKM01002581
gb|AAKM01000313	AAKM01000313
gb|AAKM01002584	AAKM01002584
gb|AAKM01000312	AAKM01000312
gb|AAKM01002583	AAKM01002583
gb|AAKM01000257	AAKM01000257
gb|AAKM01000258	AAKM01000258
gb|AAKM01000259	AAKM01000259
gb|AAKM01000253	AAKM01000253
gb|AAKM01000254	AAKM01000254
gb|AAKM01000255	AAKM01000255
gb|AAKM01000256	AAKM01000256
gb|AAKM01001809	AAKM01001809
gb|AAKM01001808	AAKM01001808
gb|AAKM01000250	AAKM01000250
gb|AAKM01001807	AAKM01001807
gb|AAKM01000251	AAKM01000251
gb|AAKM01001806	AAKM01001806
gb|AAKM01000252	AAKM01000252
gb|AAKM01001805	AAKM01001805
gb|AAKM01001803	AAKM01001803
gb|AAKM01000757	AAKM01000757
gb|AAKM01000756	AAKM01000756
gb|AAKM01001804	AAKM01001804
gb|AAKM01000759	AAKM01000759
gb|AAKM01001801	AAKM01001801
gb|AAKM01001802	AAKM01001802
gb|AAKM01000758	AAKM01000758
gb|AAKM01000753	AAKM01000753
gb|AAKM01000752	AAKM01000752
gb|AAKM01001800	AAKM01001800
gb|AAKM01000755	AAKM01000755
gb|AAKM01000754	AAKM01000754
gb|AAKM01000751	AAKM01000751
gb|AAKM01000750	AAKM01000750
gb|AAKM01000248	AAKM01000248
gb|AAKM01000249	AAKM01000249
gb|AAKM01000246	AAKM01000246
gb|AAKM01000247	AAKM01000247
gb|AAKM01000244	AAKM01000244
gb|AAKM01000245	AAKM01000245
gb|AAKM01000242	AAKM01000242
gb|AAKM01000243	AAKM01000243
gb|AAKM01000240	AAKM01000240
gb|AAKM01000241	AAKM01000241
gb|AAKM01000749	AAKM01000749
gb|AAKM01000748	AAKM01000748
gb|AAKM01000747	AAKM01000747
gb|AAKM01000746	AAKM01000746
gb|AAKM01000745	AAKM01000745
gb|AAKM01000744	AAKM01000744
gb|AAKM01000743	AAKM01000743
gb|AAKM01000742	AAKM01000742
gb|AAKM01000741	AAKM01000741
gb|AAKM01000740	AAKM01000740
gb|AAKM01000235	AAKM01000235
gb|AAKM01000236	AAKM01000236
gb|AAKM01000237	AAKM01000237
gb|AAKM01000238	AAKM01000238
gb|AAKM01000239	AAKM01000239
gb|AAKM01001829	AAKM01001829
gb|AAKM01001828	AAKM01001828
gb|AAKM01000230	AAKM01000230
gb|AAKM01001827	AAKM01001827
gb|AAKM01000231	AAKM01000231
gb|AAKM01000232	AAKM01000232
gb|AAKM01000233	AAKM01000233
gb|AAKM01000234	AAKM01000234
gb|AAKM01000775	AAKM01000775
gb|AAKM01001821	AAKM01001821
gb|AAKM01000774	AAKM01000774
gb|AAKM01001822	AAKM01001822
gb|AAKM01000777	AAKM01000777
gb|AAKM01001820	AAKM01001820
gb|AAKM01000776	AAKM01000776
gb|AAKM01000779	AAKM01000779
gb|AAKM01001825	AAKM01001825
gb|AAKM01001826	AAKM01001826
gb|AAKM01000778	AAKM01000778
gb|AAKM01001823	AAKM01001823
gb|AAKM01001824	AAKM01001824
gb|AAKM01000771	AAKM01000771
gb|AAKM01000770	AAKM01000770
gb|AAKM01000773	AAKM01000773
gb|AAKM01000772	AAKM01000772
gb|AAKM01000226	AAKM01000226
gb|AAKM01000227	AAKM01000227
gb|AAKM01000224	AAKM01000224
gb|AAKM01000225	AAKM01000225
gb|AAKM01000228	AAKM01000228
gb|AAKM01000229	AAKM01000229
gb|AAKM01001817	AAKM01001817
gb|AAKM01001816	AAKM01001816
gb|AAKM01001819	AAKM01001819
gb|AAKM01001818	AAKM01001818
gb|AAKM01000222	AAKM01000222
gb|AAKM01000223	AAKM01000223
gb|AAKM01000220	AAKM01000220
gb|AAKM01000221	AAKM01000221
gb|AAKM01000766	AAKM01000766
gb|AAKM01000765	AAKM01000765
gb|AAKM01001810	AAKM01001810
gb|AAKM01000764	AAKM01000764
gb|AAKM01000763	AAKM01000763
gb|AAKM01001811	AAKM01001811
gb|AAKM01001812	AAKM01001812
gb|AAKM01001813	AAKM01001813
gb|AAKM01000769	AAKM01000769
gb|AAKM01001814	AAKM01001814
gb|AAKM01000768	AAKM01000768
gb|AAKM01000767	AAKM01000767
gb|AAKM01001815	AAKM01001815
gb|AAKM01000762	AAKM01000762
gb|AAKM01000761	AAKM01000761
gb|AAKM01000760	AAKM01000760
gb|AAKM01000298	AAKM01000298
gb|AAKM01002607	AAKM01002607
gb|AAKM01000297	AAKM01000297
gb|AAKM01002606	AAKM01002606
gb|AAKM01002605	AAKM01002605
gb|AAKM01000299	AAKM01000299
gb|AAKM01002604	AAKM01002604
gb|AAKM01000294	AAKM01000294
gb|AAKM01002603	AAKM01002603
gb|AAKM01000293	AAKM01000293
gb|AAKM01002602	AAKM01002602
gb|AAKM01000296	AAKM01000296
gb|AAKM01002601	AAKM01002601
gb|AAKM01000295	AAKM01000295
gb|AAKM01002600	AAKM01002600
gb|AAKM01000792	AAKM01000792
gb|AAKM01000793	AAKM01000793
gb|AAKM01000794	AAKM01000794
gb|AAKM01000795	AAKM01000795
gb|AAKM01000790	AAKM01000790
gb|AAKM01000791	AAKM01000791
gb|AAKM01000796	AAKM01000796
gb|AAKM01000797	AAKM01000797
gb|AAKM01000798	AAKM01000798
gb|AAKM01002608	AAKM01002608
gb|AAKM01000799	AAKM01000799
gb|AAKM01002609	AAKM01002609
gb|AAKM01000289	AAKM01000289
gb|AAKM01002616	AAKM01002616
gb|AAKM01000288	AAKM01000288
gb|AAKM01002615	AAKM01002615
gb|AAKM01000287	AAKM01000287
gb|AAKM01002618	AAKM01002618
gb|AAKM01000286	AAKM01000286
gb|AAKM01002617	AAKM01002617
gb|AAKM01000285	AAKM01000285
gb|AAKM01002612	AAKM01002612
gb|AAKM01000284	AAKM01000284
gb|AAKM01002611	AAKM01002611
gb|AAKM01000283	AAKM01000283
gb|AAKM01002614	AAKM01002614
gb|AAKM01000282	AAKM01000282
gb|AAKM01002613	AAKM01002613
gb|AAKM01002610	AAKM01002610
gb|AAKM01000783	AAKM01000783
gb|AAKM01000784	AAKM01000784
gb|AAKM01000781	AAKM01000781
gb|AAKM01000782	AAKM01000782
gb|AAKM01000780	AAKM01000780
gb|AAKM01000291	AAKM01000291
gb|AAKM01000292	AAKM01000292
gb|AAKM01000789	AAKM01000789
gb|AAKM01000290	AAKM01000290
gb|AAKM01000787	AAKM01000787
gb|AAKM01002619	AAKM01002619
gb|AAKM01000788	AAKM01000788
gb|AAKM01000785	AAKM01000785
gb|AAKM01000786	AAKM01000786
gb|AAKM01000272	AAKM01000272
gb|AAKM01002625	AAKM01002625
gb|AAKM01000271	AAKM01000271
gb|AAKM01002624	AAKM01002624
gb|AAKM01000274	AAKM01000274
gb|AAKM01002623	AAKM01002623
gb|AAKM01000273	AAKM01000273
gb|AAKM01002622	AAKM01002622
gb|AAKM01000276	AAKM01000276
gb|AAKM01002629	AAKM01002629
gb|AAKM01000275	AAKM01000275
gb|AAKM01002628	AAKM01002628
gb|AAKM01000278	AAKM01000278
gb|AAKM01002627	AAKM01002627
gb|AAKM01000277	AAKM01000277
gb|AAKM01002626	AAKM01002626
gb|AAKM01000279	AAKM01000279
gb|AAKM01002621	AAKM01002621
gb|AAKM01002620	AAKM01002620
gb|AAKM01000280	AAKM01000280
gb|AAKM01000281	AAKM01000281
gb|AAKM01000263	AAKM01000263
gb|AAKM01001393	AAKM01001393
gb|AAKM01002634	AAKM01002634
gb|AAKM01001394	AAKM01001394
gb|AAKM01000262	AAKM01000262
gb|AAKM01002633	AAKM01002633
gb|AAKM01001395	AAKM01001395
gb|AAKM01000261	AAKM01000261
gb|AAKM01002636	AAKM01002636
gb|AAKM01001396	AAKM01001396
gb|AAKM01000260	AAKM01000260
gb|AAKM01002635	AAKM01002635
gb|AAKM01001397	AAKM01001397
gb|AAKM01000267	AAKM01000267
gb|AAKM01002638	AAKM01002638
gb|AAKM01001398	AAKM01001398
gb|AAKM01000266	AAKM01000266
gb|AAKM01002637	AAKM01002637
gb|AAKM01001399	AAKM01001399
gb|AAKM01000265	AAKM01000265
gb|AAKM01000264	AAKM01000264
gb|AAKM01002639	AAKM01002639
gb|AAKM01000269	AAKM01000269
gb|AAKM01000268	AAKM01000268
gb|AAKM01002630	AAKM01002630
gb|AAKM01002632	AAKM01002632
gb|AAKM01002631	AAKM01002631
gb|AAKM01000270	AAKM01000270
gb|AAKM01002046	AAKM01002046
gb|AAKM01001889	AAKM01001889
gb|AAKM01001390	AAKM01001390
gb|AAKM01002047	AAKM01002047
gb|AAKM01001391	AAKM01001391
gb|AAKM01002048	AAKM01002048
gb|AAKM01001392	AAKM01001392
gb|AAKM01002049	AAKM01002049
gb|AAKM01002042	AAKM01002042
gb|AAKM01001885	AAKM01001885
gb|AAKM01002043	AAKM01002043
gb|AAKM01001886	AAKM01001886
gb|AAKM01002044	AAKM01002044
gb|AAKM01001887	AAKM01001887
gb|AAKM01002045	AAKM01002045
gb|AAKM01001888	AAKM01001888
gb|AAKM01001881	AAKM01001881
gb|AAKM01001882	AAKM01001882
gb|AAKM01001883	AAKM01001883
gb|AAKM01001884	AAKM01001884
gb|AAKM01001880	AAKM01001880
gb|AAKM01001387	AAKM01001387
gb|AAKM01002050	AAKM01002050
gb|AAKM01001386	AAKM01001386
gb|AAKM01001389	AAKM01001389
gb|AAKM01002052	AAKM01002052
gb|AAKM01001388	AAKM01001388
gb|AAKM01002051	AAKM01002051
gb|AAKM01001383	AAKM01001383
gb|AAKM01001382	AAKM01001382
gb|AAKM01001385	AAKM01001385
gb|AAKM01001384	AAKM01001384
gb|AAKM01001380	AAKM01001380
gb|AAKM01002059	AAKM01002059
gb|AAKM01001381	AAKM01001381
gb|AAKM01002057	AAKM01002057
gb|AAKM01001878	AAKM01001878
gb|AAKM01002058	AAKM01002058
gb|AAKM01001879	AAKM01001879
gb|AAKM01002055	AAKM01002055
gb|AAKM01001876	AAKM01001876
gb|AAKM01002056	AAKM01002056
gb|AAKM01001877	AAKM01001877
gb|AAKM01002053	AAKM01002053
gb|AAKM01001874	AAKM01001874
gb|AAKM01002054	AAKM01002054
gb|AAKM01001875	AAKM01001875
gb|AAKM01001872	AAKM01001872
gb|AAKM01001873	AAKM01001873
gb|AAKM01001870	AAKM01001870
gb|AAKM01001871	AAKM01001871
gb|AAKM01001379	AAKM01001379
gb|AAKM01001378	AAKM01001378
gb|AAKM01002063	AAKM01002063
gb|AAKM01001377	AAKM01001377
gb|AAKM01002062	AAKM01002062
gb|AAKM01001376	AAKM01001376
gb|AAKM01002061	AAKM01002061
gb|AAKM01001375	AAKM01001375
gb|AAKM01002060	AAKM01002060
gb|AAKM01001374	AAKM01001374
gb|AAKM01001373	AAKM01001373
gb|AAKM01001372	AAKM01001372
gb|AAKM01001371	AAKM01001371
gb|AAKM01002064	AAKM01002064
gb|AAKM01002065	AAKM01002065
gb|AAKM01002066	AAKM01002066
gb|AAKM01002067	AAKM01002067
gb|AAKM01002068	AAKM01002068
gb|AAKM01002069	AAKM01002069
gb|AAKM01001370	AAKM01001370
gb|AAKM01001369	AAKM01001369
gb|AAKM01001368	AAKM01001368
gb|AAKM01001361	AAKM01001361
gb|AAKM01001360	AAKM01001360
gb|AAKM01001363	AAKM01001363
gb|AAKM01002070	AAKM01002070
gb|AAKM01001362	AAKM01001362
gb|AAKM01001365	AAKM01001365
gb|AAKM01002072	AAKM01002072
gb|AAKM01001364	AAKM01001364
gb|AAKM01002071	AAKM01002071
gb|AAKM01001367	AAKM01001367
gb|AAKM01002074	AAKM01002074
gb|AAKM01001366	AAKM01001366
gb|AAKM01002073	AAKM01002073
gb|AAKM01002077	AAKM01002077
gb|AAKM01001898	AAKM01001898
gb|AAKM01002078	AAKM01002078
gb|AAKM01001899	AAKM01001899
gb|AAKM01002075	AAKM01002075
gb|AAKM01001896	AAKM01001896
gb|AAKM01002076	AAKM01002076
gb|AAKM01001897	AAKM01001897
gb|AAKM01002079	AAKM01002079
gb|AAKM01001890	AAKM01001890
gb|AAKM01001891	AAKM01001891
gb|AAKM01001894	AAKM01001894
gb|AAKM01001895	AAKM01001895
gb|AAKM01001892	AAKM01001892
gb|AAKM01001893	AAKM01001893
gb|AAKM01001359	AAKM01001359
gb|AAKM01001358	AAKM01001358
gb|AAKM01001357	AAKM01001357
gb|AAKM01001352	AAKM01001352
gb|AAKM01002081	AAKM01002081
gb|AAKM01001351	AAKM01001351
gb|AAKM01002080	AAKM01002080
gb|AAKM01001350	AAKM01001350
gb|AAKM01001356	AAKM01001356
gb|AAKM01002085	AAKM01002085
gb|AAKM01001355	AAKM01001355
gb|AAKM01002084	AAKM01002084
gb|AAKM01001354	AAKM01001354
gb|AAKM01002083	AAKM01002083
gb|AAKM01001353	AAKM01001353
gb|AAKM01002082	AAKM01002082
gb|AAKM01001840	AAKM01001840
gb|AAKM01002007	AAKM01002007
gb|AAKM01002006	AAKM01002006
gb|AAKM01002009	AAKM01002009
gb|AAKM01002008	AAKM01002008
gb|AAKM01002003	AAKM01002003
gb|AAKM01000714	AAKM01000714
gb|AAKM01001846	AAKM01001846
gb|AAKM01002002	AAKM01002002
gb|AAKM01001845	AAKM01001845
gb|AAKM01000715	AAKM01000715
gb|AAKM01002005	AAKM01002005
gb|AAKM01001848	AAKM01001848
gb|AAKM01000712	AAKM01000712
gb|AAKM01002004	AAKM01002004
gb|AAKM01000713	AAKM01000713
gb|AAKM01001847	AAKM01001847
gb|AAKM01000710	AAKM01000710
gb|AAKM01001842	AAKM01001842
gb|AAKM01001841	AAKM01001841
gb|AAKM01000711	AAKM01000711
gb|AAKM01002001	AAKM01002001
gb|AAKM01001844	AAKM01001844
gb|AAKM01002000	AAKM01002000
gb|AAKM01001843	AAKM01001843
gb|AAKM01001342	AAKM01001342
gb|AAKM01001343	AAKM01001343
gb|AAKM01001344	AAKM01001344
gb|AAKM01001345	AAKM01001345
gb|AAKM01000719	AAKM01000719
gb|AAKM01001849	AAKM01001849
gb|AAKM01000718	AAKM01000718
gb|AAKM01001340	AAKM01001340
gb|AAKM01000717	AAKM01000717
gb|AAKM01001341	AAKM01001341
gb|AAKM01000716	AAKM01000716
gb|AAKM01001346	AAKM01001346
gb|AAKM01001347	AAKM01001347
gb|AAKM01001348	AAKM01001348
gb|AAKM01001349	AAKM01001349
gb|AAKM01002019	AAKM01002019
gb|AAKM01002018	AAKM01002018
gb|AAKM01002017	AAKM01002017
gb|AAKM01002016	AAKM01002016
gb|AAKM01000701	AAKM01000701
gb|AAKM01001837	AAKM01001837
gb|AAKM01002015	AAKM01002015
gb|AAKM01001836	AAKM01001836
gb|AAKM01000702	AAKM01000702
gb|AAKM01002014	AAKM01002014
gb|AAKM01001835	AAKM01001835
gb|AAKM01000703	AAKM01000703
gb|AAKM01002013	AAKM01002013
gb|AAKM01001834	AAKM01001834
gb|AAKM01000704	AAKM01000704
gb|AAKM01002012	AAKM01002012
gb|AAKM01001833	AAKM01001833
gb|AAKM01002011	AAKM01002011
gb|AAKM01001832	AAKM01001832
gb|AAKM01002010	AAKM01002010
gb|AAKM01001831	AAKM01001831
gb|AAKM01001830	AAKM01001830
gb|AAKM01000700	AAKM01000700
gb|AAKM01001333	AAKM01001333
gb|AAKM01001334	AAKM01001334
gb|AAKM01000709	AAKM01000709
gb|AAKM01001331	AAKM01001331
gb|AAKM01001332	AAKM01001332
gb|AAKM01000706	AAKM01000706
gb|AAKM01001330	AAKM01001330
gb|AAKM01000705	AAKM01000705
gb|AAKM01000708	AAKM01000708
gb|AAKM01001838	AAKM01001838
gb|AAKM01001839	AAKM01001839
gb|AAKM01000707	AAKM01000707
gb|AAKM01001339	AAKM01001339
gb|AAKM01001337	AAKM01001337
gb|AAKM01001338	AAKM01001338
gb|AAKM01001335	AAKM01001335
gb|AAKM01001336	AAKM01001336
gb|AAKM01002029	AAKM01002029
gb|AAKM01002028	AAKM01002028
gb|AAKM01001860	AAKM01001860
gb|AAKM01001862	AAKM01001862
gb|AAKM01001861	AAKM01001861
gb|AAKM01000732	AAKM01000732
gb|AAKM01001864	AAKM01001864
gb|AAKM01002021	AAKM01002021
gb|AAKM01000733	AAKM01000733
gb|AAKM01001863	AAKM01001863
gb|AAKM01002020	AAKM01002020
gb|AAKM01001866	AAKM01001866
gb|AAKM01000730	AAKM01000730
gb|AAKM01002023	AAKM01002023
gb|AAKM01000731	AAKM01000731
gb|AAKM01001865	AAKM01001865
gb|AAKM01002022	AAKM01002022
gb|AAKM01000736	AAKM01000736
gb|AAKM01001868	AAKM01001868
gb|AAKM01002025	AAKM01002025
gb|AAKM01001867	AAKM01001867
gb|AAKM01000737	AAKM01000737
gb|AAKM01002024	AAKM01002024
gb|AAKM01000734	AAKM01000734
gb|AAKM01002027	AAKM01002027
gb|AAKM01000735	AAKM01000735
gb|AAKM01001869	AAKM01001869
gb|AAKM01002026	AAKM01002026
gb|AAKM01000739	AAKM01000739
gb|AAKM01000738	AAKM01000738
gb|AAKM01001320	AAKM01001320
gb|AAKM01001321	AAKM01001321
gb|AAKM01001322	AAKM01001322
gb|AAKM01001323	AAKM01001323
gb|AAKM01002030	AAKM01002030
gb|AAKM01001324	AAKM01001324
gb|AAKM01001325	AAKM01001325
gb|AAKM01001326	AAKM01001326
gb|AAKM01001327	AAKM01001327
gb|AAKM01001328	AAKM01001328
gb|AAKM01001329	AAKM01001329
gb|AAKM01002039	AAKM01002039
gb|AAKM01001851	AAKM01001851
gb|AAKM01001850	AAKM01001850
gb|AAKM01001855	AAKM01001855
gb|AAKM01002034	AAKM01002034
gb|AAKM01000720	AAKM01000720
gb|AAKM01001854	AAKM01001854
gb|AAKM01002033	AAKM01002033
gb|AAKM01001853	AAKM01001853
gb|AAKM01000721	AAKM01000721
gb|AAKM01002032	AAKM01002032
gb|AAKM01001852	AAKM01001852
gb|AAKM01000722	AAKM01000722
gb|AAKM01002031	AAKM01002031
gb|AAKM01001859	AAKM01001859
gb|AAKM01000723	AAKM01000723
gb|AAKM01002038	AAKM01002038
gb|AAKM01001858	AAKM01001858
gb|AAKM01000724	AAKM01000724
gb|AAKM01002037	AAKM01002037
gb|AAKM01000725	AAKM01000725
gb|AAKM01001857	AAKM01001857
gb|AAKM01002036	AAKM01002036
gb|AAKM01001856	AAKM01001856
gb|AAKM01000726	AAKM01000726
gb|AAKM01002035	AAKM01002035
gb|AAKM01000728	AAKM01000728
gb|AAKM01000727	AAKM01000727
gb|AAKM01000729	AAKM01000729
gb|AAKM01001311	AAKM01001311
gb|AAKM01002040	AAKM01002040
gb|AAKM01001312	AAKM01001312
gb|AAKM01002041	AAKM01002041
gb|AAKM01001310	AAKM01001310
gb|AAKM01001315	AAKM01001315
gb|AAKM01001316	AAKM01001316
gb|AAKM01001313	AAKM01001313
gb|AAKM01001314	AAKM01001314
gb|AAKM01001319	AAKM01001319
gb|AAKM01001317	AAKM01001317
gb|AAKM01001318	AAKM01001318
gb|CM000455	CM000455
gb|CM000454	CM000454
gb|AAKM01001510	AAKM01001510
gb|CM000453	CM000453
gb|CM000452	CM000452
gb|CM000451	CM000451
gb|CM000450	CM000450
gb|AAKM01001516	AAKM01001516
gb|AAKM01001515	AAKM01001515
gb|AAKM01001518	AAKM01001518
gb|AAKM01001517	AAKM01001517
gb|AAKM01001512	AAKM01001512
gb|AAKM01001511	AAKM01001511
gb|AAKM01001514	AAKM01001514
gb|AAKM01001513	AAKM01001513
gb|AAKM01001519	AAKM01001519
gb|AAKM01001521	AAKM01001521
gb|AAKM01001520	AAKM01001520
gb|AAKM01001529	AAKM01001529
gb|AAKM01001528	AAKM01001528
gb|AAKM01001527	AAKM01001527
gb|AAKM01001526	AAKM01001526
gb|AAKM01001525	AAKM01001525
gb|AAKM01001524	AAKM01001524
gb|AAKM01001523	AAKM01001523
gb|AAKM01001522	AAKM01001522
gb|AAKM01001530	AAKM01001530
gb|AAKM01001532	AAKM01001532
gb|AAKM01001531	AAKM01001531
gb|AAKM01001534	AAKM01001534
gb|AAKM01002493	AAKM01002493
gb|AAKM01001533	AAKM01001533
gb|AAKM01002494	AAKM01002494
gb|AAKM01001536	AAKM01001536
gb|AAKM01002495	AAKM01002495
gb|AAKM01001535	AAKM01001535
gb|AAKM01002496	AAKM01002496
gb|AAKM01001538	AAKM01001538
gb|AAKM01002497	AAKM01002497
gb|AAKM01001537	AAKM01001537
gb|AAKM01002498	AAKM01002498
gb|AAKM01002499	AAKM01002499
gb|AAKM01001539	AAKM01001539
gb|AAKM01001543	AAKM01001543
gb|AAKM01001542	AAKM01001542
gb|AAKM01001541	AAKM01001541
gb|AAKM01001540	AAKM01001540
gb|AAKM01001547	AAKM01001547
gb|AAKM01002484	AAKM01002484
gb|AAKM01001546	AAKM01001546
gb|AAKM01002485	AAKM01002485
gb|AAKM01001545	AAKM01001545
gb|AAKM01002482	AAKM01002482
gb|AAKM01001544	AAKM01001544
gb|AAKM01002483	AAKM01002483
gb|AAKM01002488	AAKM01002488
gb|AAKM01002489	AAKM01002489
gb|AAKM01001549	AAKM01001549
gb|AAKM01002486	AAKM01002486
gb|AAKM01001548	AAKM01001548
gb|AAKM01002487	AAKM01002487
gb|AAKM01002492	AAKM01002492
gb|AAKM01002491	AAKM01002491
gb|AAKM01002490	AAKM01002490
gb|AAKM01001502	AAKM01001502
gb|AAKM01001503	AAKM01001503
gb|AAKM01001500	AAKM01001500
